0902b-25-1268  263.61337499999996 -32.568             20.305 0.09 21.192 0.07 18.503 0.03 17.605 0.02 17.956 0.02 3.222 1.785 -0.55  1.557 -217.04 17.72  7.08 1.29 0.51 0.07 -8.53 0.55 -8.64 0.9
0902b-25-819   263.6170833333333  -32.620749999999994 20.202 0.09 19.706 0.02 17.117 0.01 17.02  0.01 16.698 0.01 3.356 0.324 -1.226 0.262  -40.33  3.68  1.43 0.16 0.5  0.05 -8.5  0.55 -8.52 0.9
0902a-16-95    263.62125000000003 -32.62363888888889  19.366 0.05 20.087 0.03 17.346 0.02 16.824 0.01 17.289 0.02 2.526 0.454 -1.75  0.383 -154.74 21.05 18.27 4.11 0.74 0.06 -8.46 0.55 -8.51 0.9
0902a-16-517   263.64025000000004 -32.582611111111106 17.971 0.02 17.893 0.01 15.377 0.01 15.446 0.01 15.432 0.01 2.735 0.136 -1.582 0.105  -44.66  7.17  0.93 0.14 0.7  0.13 -7.81 0.56 -7.68 0.9
0902a-16-166   263.6550416666667  -32.614472222222226 20.021 0.09 20.278 0.04 17.806 0.02 17.383 0.02 17.455 0.02 2.136 0.572 -1.818 0.423 -101.42  9.85  7.47 1.16 0.65 0.1  -8.67 0.56 -8.65 0.9
0902a-16-591   263.65641666666664 -32.57747222222222  18.919 0.07 18.93  0.02 16.529 0.01 16.588 0.02 16.319 0.01 2.862 0.254 -1.574 0.2    -30.1   3.39  2.0  0.21 0.65 0.1  -8.54 0.56 -8.08 0.9
0902b-26-3164  263.67979166666663 -32.5671111111111    ---   ---  19.78  0.03 17.222 0.02 16.902 0.02 16.88  0.01 1.47  0.337 -1.359 0.269  -81.28  7.97  2.84 0.25 0.59 0.08 -8.36 0.56 ---   0.9
0902b-26-2552  263.6809583333333  -32.59866666666667   ---   ---  20.563 0.06 17.64  0.01 17.25  0.02 17.084 0.01 3.037 0.471 -1.499 0.376  -82.59  6.69  1.83 0.19 0.47 0.06 -8.39 0.55 ---   0.9
0902b-26-3090  263.68354166666666 -32.57091666666667  18.201 0.04 18.491 0.02 16.243 0.01 16.206 0.01 16.002 0.01 1.874 0.246 -1.831 0.207  -41.39  4.5   0.84 0.07 0.51 0.07 -8.05 0.55 -7.62 0.9
0902b-26-2855  263.70349999999996 -32.58322222222223  18.474 0.03 17.97  0.01 15.273 0.01 15.375 0.01 15.256 0.01 2.717 0.145 -1.496 0.12   -35.73  5.14  0.58 0.04 0.59 0.11 -7.71 0.56 -7.8  0.9
0902b-26-3469  263.706625         -32.54747222222222   ---   ---  19.847 0.03 16.743 0.01 16.716 0.01 16.438 0.01 2.435 0.371 -2.17  0.283  -35.77  3.64  1.61 0.15 0.57 0.08 -8.46 0.56 ---   0.9
